trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
2026-02-18 15:07:48.873972,9235295203402537,merchant_0,shopping_pos,49.096541125566056,first_0,last_0,M,street_0,city_0,CA,47430,36.426679989659696,-114.51196203138936,850957,Engineer,1985-05-08,trans_0,1771407468,32.182131696212984,-80.06906392470279,0
2026-02-17 15:07:48.873972,6928029944756776,merchant_1,personal_care,590.3509979164005,first_1,last_1,M,street_1,city_1,NY,38189,44.90607811597942,-98.2077705383024,398782,Doctor,2007-03-22,trans_1,1771407468,31.36044253583088,-119.48597363781812,1
2026-02-16 15:07:48.873972,4728052640660074,merchant_2,misc_pos,887.6075296064813,first_2,last_2,F,street_2,city_2,NY,24183,30.73912123101363,-106.7173838154327,642709,Engineer,1993-04-02,trans_2,1771407468,32.44384458395768,-107.45029870070854,1
2026-02-15 15:07:48.873972,9013338338382881,merchant_3,entertainment,630.0003735591973,first_3,last_3,M,street_3,city_3,NY,32442,41.713242845767674,-85.89942334968165,623646,Teacher,1991-08-14,trans_3,1771407468,40.42039799516389,-91.98041927075832,1
2026-02-14 15:07:48.873972,2950070919283707,merchant_4,travel,136.99801700528334,first_4,last_4,M,street_4,city_4,IL,35014,41.302449076942885,-71.86651926086054,74036,Manager,2003-11-05,trans_4,1771407468,33.90848344582158,-110.68624991004364,1
2026-02-13 15:07:48.873972,3361258533330059,merchant_5,entertainment,839.2132632840869,first_5,last_5,F,street_5,city_5,FL,73664,37.21680197846201,-75.9222100118078,641354,Engineer,1998-12-03,trans_5,1771407468,30.72054058466169,-77.92005588906002,0
2026-02-12 15:07:48.873972,6840947736661974,merchant_6,entertainment,249.27594518320106,first_6,last_6,M,street_6,city_6,FL,57866,40.90606319396598,-105.50901557902976,180156,Engineer,1987-02-24,trans_6,1771407468,31.26123836947683,-100.94429974051297,1
2026-02-11 15:07:48.873972,3088427193108796,merchant_7,entertainment,960.5172726747028,first_7,last_7,M,street_7,city_7,TX,41393,37.555238066575974,-83.63489740750353,85324,Artist,1990-10-17,trans_7,1771407468,44.22616035583124,-75.19734099686504,1
2026-02-10 15:07:48.873972,5131760978993216,merchant_8,health_fitness,727.0646265379544,first_8,last_8,F,street_8,city_8,NY,66358,33.468154725581925,-96.37079476930282,615160,Teacher,2001-07-04,trans_8,1771407468,44.97613258118561,-72.88088017990759,0
2026-02-09 15:07:48.873972,9974896227112650,merchant_9,gas_transport,587.9946626512149,first_9,last_9,F,street_9,city_9,CA,98363,43.367174397439285,-92.64090915765598,199622,Engineer,2004-03-22,trans_9,1771407468,43.14237657859807,-99.63021000347648,0
